Molen;Datum;Totale productie (kWh);Per winddeel (kWh);9 Winddelen (kWh)
De Witte Juffer;2017-10-12;15623;2,731;24,577
De Witte Juffer;2017-10-11;16827;2,941;26,471
De Witte Juffer;2017-10-10;10995;1,922;17,297
De Witte Juffer;2017-10-09;2833;0,495;4,457
De Witte Juffer;2017-10-08;1624;0,284;2,555
De Witte Juffer;2017-10-07;15889;2,777;24,996
De Witte Juffer;2017-10-06;10190;1,781;16,03
De Witte Juffer;2017-10-05;27522;4,811;43,296
De Witte Juffer;2017-10-04;16872;2,949;26,542
De Witte Juffer;2017-10-03;7434;1,299;11,695
De Witte Juffer;2017-10-02;25421;4,443;39,991
De Witte Juffer;2017-10-01;13401;2,342;21,082
De Witte Juffer;2017-09-30;1816;0,317;2,857
De Witte Juffer;2017-09-29;4395;0,768;6,914
De Witte Juffer;2017-09-28;2970;0,519;4,672
De Witte Juffer;2017-09-27;2536;0,443;3,99
De Witte Juffer;2017-09-26;989;0,173;1,556
De Witte Juffer;2017-09-25;1998;0,349;3,143
De Witte Juffer;2017-09-24;1216;0,213;1,913
De Witte Juffer;2017-09-23;-71;-0,012;-0,112
De Witte Juffer;2017-09-22;1652;0,289;2,599
De Witte Juffer;2017-09-21;4065;0,711;6,395
De Witte Juffer;2017-09-20;3390;0,593;5,333
De Witte Juffer;2017-09-19;1175;0,205;1,848
De Witte Juffer;2017-09-18;1786;0,312;2,81
De Witte Juffer;2017-09-17;152;0,027;0,239
De Witte Juffer;2017-09-16;730;0,128;1,148
De Witte Juffer;2017-09-15;5360;0,937;8,432
De Witte Juffer;2017-09-14;16905;2,955;26,594
De Witte Juffer;2017-09-13;35182;6,15;55,347
De Witte Juffer;2017-09-12;16016;2,8;25,196
De Witte Juffer;2017-09-11;28689;5,015;45,132
De Witte Juffer;2017-09-10;17431;3,047;27,422
De Witte Juffer;2017-09-09;2998;0,524;4,716
De Witte Juffer;2017-09-08;19587;3,424;30,813
De Witte Juffer;2017-09-07;5355;0,936;8,424
De Witte Juffer;2017-09-06;10597;1,852;16,671
De Witte Juffer;2017-09-05;2422;0,423;3,81
De Witte Juffer;2017-09-04;2001;0,35;3,148
De Witte Juffer;2017-09-03;-24;-0,004;-0,038
De Witte Juffer;2017-09-02;914;0,16;1,438
De Witte Juffer;2017-09-01;592;0,103;0,931
De Witte Juffer;2017-08-31;2428;0,424;3,82
De Witte Juffer;2017-08-30;4322;0,755;6,799
De Witte Juffer;2017-08-29;1532;0,268;2,41
De Witte Juffer;2017-08-28;-234;-0,041;-0,368
De Witte Juffer;2017-08-27;-27;-0,005;-0,042
De Witte Juffer;2017-08-26;1321;0,231;2,078
De Witte Juffer;2017-08-25;881;0,154;1,386
De Witte Juffer;2017-08-24;5787;1,012;9,104
De Witte Juffer;2017-08-23;3550;0,621;5,585
De Witte Juffer;2017-08-22;809;0,141;1,273
De Witte Juffer;2017-08-21;1876;0,328;2,951
De Witte Juffer;2017-08-20;6992;1,222;10,999
De Witte Juffer;2017-08-19;14698;2,569;23,122
De Witte Juffer;2017-08-18;8248;1,442;12,975
De Witte Juffer;2017-08-17;8092;1,414;12,73
De Witte Juffer;2017-08-16;313;0,055;0,492
De Witte Juffer;2017-08-15;2092;0,366;3,291
De Witte Juffer;2017-08-14;2346;0,41;3,691
De Witte Juffer;2017-08-13;924;0,162;1,454
De Witte Juffer;2017-08-12;5827;1,019;9,167
De Witte Juffer;2017-08-11;1497;0,262;2,355
De Witte Juffer;2017-08-10;1522;0,266;2,394
De Witte Juffer;2017-08-09;3187;0,557;5,014
De Witte Juffer;2017-08-08;3354;0,586;5,276
De Witte Juffer;2017-08-07;954;0,167;1,501
De Witte Juffer;2017-08-06;2390;0,418;3,76
De Witte Juffer;2017-08-05;3390;0,593;5,333
De Witte Juffer;2017-08-04;11932;2,086;18,771
De Witte Juffer;2017-08-03;23050;4,029;36,261
De Witte Juffer;2017-08-02;3441;0,601;5,413
De Witte Juffer;2017-08-01;-34;-0,006;-0,053
De Witte Juffer;2017-07-31;3035;0,531;4,775
De Witte Juffer;2017-07-30;13703;2,395;21,557
De Witte Juffer;2017-07-29;9234;1,614;14,526
De Witte Juffer;2017-07-28;12297;2,149;19,345
De Witte Juffer;2017-07-27;11075;1,936;17,423
De Witte Juffer;2017-07-26;3362;0,588;5,289
De Witte Juffer;2017-07-25;12981;2,269;20,421
De Witte Juffer;2017-07-24;1764;0,308;2,775
De Witte Juffer;2017-07-23;6036;1,055;9,496
De Witte Juffer;2017-07-22;3169;0,554;4,985
De Witte Juffer;2017-07-21;3159;0,552;4,97
De Witte Juffer;2017-07-20;7123;1,245;11,206
De Witte Juffer;2017-07-19;4428;0,774;6,966
De Witte Juffer;2017-07-18;5269;0,921;8,289
De Witte Juffer;2017-07-17;642;0,112;1,01
De Witte Juffer;2017-07-16;2657;0,464;4,18
De Witte Juffer;2017-07-15;2218;0,388;3,489
De Witte Juffer;2017-07-14;8681;1,517;13,657
De Witte Juffer;2017-07-13;-223;-0,039;-0,351
De Witte Juffer;2017-07-12;6621;1,157;10,416
De Witte Juffer;2017-07-11;5547;0,97;8,726
De Witte Juffer;2017-07-10;2109;0,369;3,318
De Witte Juffer;2017-07-09;413;0,072;0,65
De Witte Juffer;2017-07-08;1568;0,274;2,467
De Witte Juffer;2017-07-07;5647;0,987;8,884
De Witte Juffer;2017-07-06;1165;0,204;1,833
De Witte Juffer;2017-07-05;1655;0,289;2,604
De Witte Juffer;2017-07-04;904;0,158;1,422
De Witte Juffer;2017-07-03;9422;1,647;14,822
De Witte Juffer;2017-07-02;5496;0,961;8,646
De Witte Juffer;2017-07-01;6636;1,16;10,439
De Witte Juffer;2017-06-30;3048;0,533;4,795
De Witte Juffer;2017-06-29;1559;0,273;2,453
De Witte Juffer;2017-06-28;3525;0,616;5,545
De Witte Juffer;2017-06-27;4258;0,744;6,698
De Witte Juffer;2017-06-26;3391;0,593;5,335
De Witte Juffer;2017-06-25;9292;1,624;14,618
De Witte Juffer;2017-06-24;9631;1,683;15,151
De Witte Juffer;2017-06-23;12669;2,214;19,93
De Witte Juffer;2017-06-22;9179;1,604;14,44
De Witte Juffer;2017-06-21;2626;0,459;4,131
De Witte Juffer;2017-06-20;4272;0,747;6,721
De Witte Juffer;2017-06-19;788;0,138;1,24
De Witte Juffer;2017-06-18;-48;-0,008;-0,076
De Witte Juffer;2017-06-17;2756;0,482;4,336
De Witte Juffer;2017-06-16;7086;1,239;11,147
De Witte Juffer;2017-06-15;11328;1,98;17,821
De Witte Juffer;2017-06-14;300;0,052;0,472
De Witte Juffer;2017-06-13;1922;0,336;3,024
De Witte Juffer;2017-06-12;15598;2,726;24,538
De Witte Juffer;2017-06-11;4611;0,806;7,254
De Witte Juffer;2017-06-10;3634;0,635;5,717
De Witte Juffer;2017-06-09;14250;2,491;22,417
De Witte Juffer;2017-06-08;9399;1,643;14,786
De Witte Juffer;2017-06-07;33405;5,839;52,551
De Witte Juffer;2017-06-06;26964;4,713;42,418
De Witte Juffer;2017-06-05;7602;1,329;11,959
De Witte Juffer;2017-06-04;4944;0,864;7,778
De Witte Juffer;2017-06-03;2230;0,39;3,508
De Witte Juffer;2017-06-02;1607;0,281;2,528
De Witte Juffer;2017-06-01;796;0,139;1,252
De Witte Juffer;2017-05-31;3796;0,664;5,972
De Witte Juffer;2017-05-30;10447;1,826;16,435
De Witte Juffer;2017-05-29;3447;0,603;5,423
De Witte Juffer;2017-05-28;623;0,109;0,98
De Witte Juffer;2017-05-27;6958;1,216;10,946
De Witte Juffer;2017-05-26;4514;0,789;7,101
De Witte Juffer;2017-05-25;1156;0,202;1,819
De Witte Juffer;2017-05-24;3874;0,677;6,094
De Witte Juffer;2017-05-23;7331;1,281;11,533
De Witte Juffer;2017-05-22;1359;0,238;2,138
De Witte Juffer;2017-05-21;1483;0,259;2,333
De Witte Juffer;2017-05-20;3413;0,597;5,369
De Witte Juffer;2017-05-19;13208;2,309;20,778
De Witte Juffer;2017-05-18;3713;0,649;5,841
De Witte Juffer;2017-05-17;1400;0,245;2,202
De Witte Juffer;2017-05-16;4269;0,746;6,716
De Witte Juffer;2017-05-15;3080;0,538;4,845
De Witte Juffer;2017-05-14;7514;1,313;11,821
De Witte Juffer;2017-05-13;4423;0,773;6,958
De Witte Juffer;2017-05-12;4940;0,863;7,771
De Witte Juffer;2017-05-11;3164;0,553;4,977
De Witte Juffer;2017-05-10;363;0,063;0,571
De Witte Juffer;2017-05-09;2309;0,404;3,632
De Witte Juffer;2017-05-08;9263;1,619;14,572
De Witte Juffer;2017-05-07;7015;1,226;11,036
De Witte Juffer;2017-05-06;6052;1,058;9,521
De Witte Juffer;2017-05-05;5224;0,913;8,218
De Witte Juffer;2017-05-04;8960;1,566;14,095
De Witte Juffer;2017-05-03;3078;0,538;4,842
De Witte Juffer;2017-05-02;1446;0,253;2,275
De Witte Juffer;2017-05-01;4612;0,806;7,255
De Witte Juffer;2017-04-30;24097;4,212;37,908
De Witte Juffer;2017-04-29;442;0,077;0,695
De Witte Juffer;2017-04-28;4608;0,805;7,249
De Witte Juffer;2017-04-27;2507;0,438;3,944
De Witte Juffer;2017-04-26;4040;0,706;6,356
De Witte Juffer;2017-04-25;13551;2,369;21,318
De Witte Juffer;2017-04-24;12865;2,249;20,239
De Witte Juffer;2017-04-23;2683;0,469;4,221
De Witte Juffer;2017-04-22;10937;1,912;17,206
De Witte Juffer;2017-04-21;6155;1,076;9,683
De Witte Juffer;2017-04-20;910;0,159;1,432
De Witte Juffer;2017-04-19;4884;0,854;7,683
De Witte Juffer;2017-04-18;5073;0,887;7,981
De Witte Juffer;2017-04-17;9611;1,68;15,12
De Witte Juffer;2017-04-16;5320;0,93;8,369
De Witte Juffer;2017-04-15;15373;2,687;24,184
De Witte Juffer;2017-04-14;4140;0,724;6,513
De Witte Juffer;2017-04-13;4237;0,741;6,665
De Witte Juffer;2017-04-12;4493;0,785;7,068
De Witte Juffer;2017-04-11;56;0,01;0,088
De Witte Juffer;2017-04-10;4374;0,765;6,881
De Witte Juffer;2017-04-09;3334;0,583;5,245
De Witte Juffer;2017-04-08;-60;-0,01;-0,094
De Witte Juffer;2017-04-07;3130;0,547;4,924
De Witte Juffer;2017-04-06;4434;0,775;6,975
De Witte Juffer;2017-04-05;8277;1,447;13,021
De Witte Juffer;2017-04-04;1697;0,297;2,67
De Witte Juffer;2017-04-03;-173;-0,03;-0,272
De Witte Juffer;2017-04-02;2010;0,351;3,162
De Witte Juffer;2017-04-01;1941;0,339;3,053
De Witte Juffer;2017-03-31;9190;1,606;14,457
De Witte Juffer;2017-03-30;7871;1,376;12,382
De Witte Juffer;2017-03-29;16096;2,813;25,321
De Witte Juffer;2017-03-28;4448;0,777;6,997
De Witte Juffer;2017-03-27;4262;0,745;6,705
De Witte Juffer;2017-03-26;5371;0,939;8,449
De Witte Juffer;2017-03-25;13467;2,354;21,186
De Witte Juffer;2017-03-24;12905;2,256;20,302
De Witte Juffer;2017-03-23;8618;1,506;13,557
De Witte Juffer;2017-03-22;7993;1,397;12,574
De Witte Juffer;2017-03-21;15456;2,702;24,315
De Witte Juffer;2017-03-20;25221;4,408;39,676
De Witte Juffer;2017-03-19;33934;5,931;53,383
De Witte Juffer;2017-03-18;23789;4,158;37,424
De Witte Juffer;2017-03-17;17552;3,068;27,612
De Witte Juffer;2017-03-16;3095;0,541;4,869
De Witte Juffer;2017-03-15;1132;0,198;1,781
De Witte Juffer;2017-03-14;9198;1,608;14,47
De Witte Juffer;2017-03-13;3962;0,693;6,233
De Witte Juffer;2017-03-12;7099;1,241;11,168
De Witte Juffer;2017-03-11;2770;0,484;4,358
De Witte Juffer;2017-03-10;2081;0,364;3,274
De Witte Juffer;2017-03-09;16690;2,917;26,256
De Witte Juffer;2017-03-08;13777;2,408;21,673
De Witte Juffer;2017-03-07;2383;0,417;3,749
De Witte Juffer;2017-03-06;3009;0,526;4,734
De Witte Juffer;2017-03-05;21257;3,716;33,44
De Witte Juffer;2017-03-04;7089;1,239;11,152
De Witte Juffer;2017-03-03;11293;1,974;17,766
De Witte Juffer;2017-03-02;30143;5,269;47,42
De Witte Juffer;2017-03-01;10185;1,78;16,023
De Witte Juffer;2017-02-28;25318;4,425;39,829
De Witte Juffer;2017-02-27;29989;5,242;47,177
De Witte Juffer;2017-02-26;18444;3,224;29,015
De Witte Juffer;2017-02-25;19499;3,408;30,675
De Witte Juffer;2017-02-24;9194;1,607;14,464
De Witte Juffer;2017-02-23;35187;6,15;55,354
De Witte Juffer;2017-02-22;39542;6,912;62,206
De Witte Juffer;2017-02-21;9546;1,669;15,017
De Witte Juffer;2017-02-20;21325;3,727;33,547
De Witte Juffer;2017-02-19;10190;1,781;16,03
De Witte Juffer;2017-02-18;2844;0,497;4,474
De Witte Juffer;2017-02-17;857;0,15;1,348
De Witte Juffer;2017-02-16;4217;0,737;6,634
De Witte Juffer;2017-02-15;5785;1,011;9,101
De Witte Juffer;2017-02-14;8368;1,463;13,164
De Witte Juffer;2017-02-13;12423;2,171;19,543
De Witte Juffer;2017-02-12;11189;1,956;17,602
De Witte Juffer;2017-02-11;4500;0,787;7,079
De Witte Juffer;2017-02-10;4368;0,764;6,872
De Witte Juffer;2017-02-09;5152;0,901;8,105
De Witte Juffer;2017-02-08;4542;0,794;7,145
De Witte Juffer;2017-02-07;5346;0,934;8,41
De Witte Juffer;2017-02-06;1954;0,342;3,074
De Witte Juffer;2017-02-05;3498;0,611;5,503
De Witte Juffer;2017-02-04;5599;0,979;8,808
De Witte Juffer;2017-02-03;8505;1,487;13,38
De Witte Juffer;2017-02-02;12162;2,126;19,133
De Witte Juffer;2017-02-01;11229;1,963;17,665
De Witte Juffer;2017-01-31;1719;0,3;2,704
De Witte Juffer;2017-01-30;10272;1,795;16,159
De Witte Juffer;2017-01-29;13175;2,303;20,726
De Witte Juffer;2017-01-28;9670;1,69;15,212
De Witte Juffer;2017-01-27;5199;0,909;8,179
De Witte Juffer;2017-01-26;-172;-0,03;-0,271
De Witte Juffer;2017-01-25;-165;-0,029;-0,26
De Witte Juffer;2017-01-24;-161;-0,028;-0,253
De Witte Juffer;2017-01-23;-150;-0,026;-0,236
De Witte Juffer;2017-01-22;55;0,01;0,087
De Witte Juffer;2017-01-21;6657;1,164;10,472
De Witte Juffer;2017-01-20;4155;0,726;6,536
De Witte Juffer;2017-01-19;588;0,103;0,925
De Witte Juffer;2017-01-18;-99;-0,017;-0,156
De Witte Juffer;2017-01-17;0;0;0
De Witte Juffer;2017-01-16;628;0,11;0,988
De Witte Juffer;2017-01-15;2668;0,466;4,197
De Witte Juffer;2017-01-14;13239;2,314;20,827
De Witte Juffer;2017-01-13;24110;4,214;37,929
De Witte Juffer;2017-01-12;20672;3,613;32,52
De Witte Juffer;2017-01-11;29847;5,217;46,954
De Witte Juffer;2017-01-10;6729;1,176;10,586
De Witte Juffer;2017-01-09;11595;2,027;18,241
De Witte Juffer;2017-01-08;4263;0,745;6,706
De Witte Juffer;2017-01-07;6625;1,158;10,422
De Witte Juffer;2017-01-06;4245;0,742;6,678
De Witte Juffer;2017-01-05;4520;0,79;7,111
De Witte Juffer;2017-01-04;27490;4,805;43,246
De Witte Juffer;2017-01-03;20683;3,615;32,537
De Witte Juffer;2017-01-02;6242;1,091;9,82
De Witte Juffer;2017-01-01;6507;1,137;10,236
De Witte Juffer;2016-12-31;5105;0,892;8,031
De Witte Juffer;2016-12-30;1711;0,299;2,692
De Witte Juffer;2016-12-29;685;0,12;1,078
De Witte Juffer;2016-12-28;660;0,115;1,038
De Witte Juffer;2016-12-27;4218;0,737;6,636
De Witte Juffer;2016-12-26;24823;4,339;39,05
De Witte Juffer;2016-12-25;38218;6,68;60,123
De Witte Juffer;2016-12-24;32895;5,75;51,749
De Witte Juffer;2016-12-23;21027;3,675;33,079
De Witte Juffer;2016-12-22;5648;0,987;8,885
De Witte Juffer;2016-12-21;17476;3,055;27,492
De Witte Juffer;2016-12-20;4335;0,758;6,82
De Witte Juffer;2016-12-19;1777;0,311;2,795
De Witte Juffer;2016-12-18;2921;0,511;4,595
De Witte Juffer;2016-12-17;995;0,174;1,565
De Witte Juffer;2016-12-16;4666;0,816;7,34
De Witte Juffer;2016-12-15;8299;1,451;13,056
De Witte Juffer;2016-12-14;2327;0,407;3,661
De Witte Juffer;2016-12-13;3141;0,549;4,941
De Witte Juffer;2016-12-12;2634;0,46;4,144
De Witte Juffer;2016-12-11;12655;2,212;19,908
De Witte Juffer;2016-12-10;10140;1,772;15,952
De Witte Juffer;2016-12-09;10197;1,782;16,041
De Witte Juffer;2016-12-08;16673;2,914;26,229
De Witte Juffer;2016-12-07;14433;2,523;22,705
De Witte Juffer;2016-12-06;2750;0,481;4,326
De Witte Juffer;2016-12-05;3568;0,624;5,613
De Witte Juffer;2016-12-04;4997;0,873;7,861
De Witte Juffer;2016-12-03;1210;0,212;1,904
De Witte Juffer;2016-12-02;4694;0,82;7,384
De Witte Juffer;2016-12-01;7400;1,293;11,641
De Witte Juffer;2016-11-30;11250;1,966;17,698
De Witte Juffer;2016-11-29;1354;0,237;2,13
De Witte Juffer;2016-11-28;8487;1,483;13,351
De Witte Juffer;2016-11-27;5343;0,934;8,405
De Witte Juffer;2016-11-26;949;0,166;1,493
De Witte Juffer;2016-11-25;16953;2,963;26,67
De Witte Juffer;2016-11-24;22254;3,89;35,009
De Witte Juffer;2016-11-23;5080;0,888;7,992
De Witte Juffer;2016-11-22;23660;4,136;37,221
De Witte Juffer;2016-11-21;18062;3,157;28,414
De Witte Juffer;2016-11-20;32527;5,686;51,17
De Witte Juffer;2016-11-19;16377;2,863;25,764
De Witte Juffer;2016-11-18;20345;3,556;32,006
De Witte Juffer;2016-11-17;20715;3,621;32,588
De Witte Juffer;2016-11-16;16984;2,969;26,718
De Witte Juffer;2016-11-15;8033;1,404;12,637
De Witte Juffer;2016-11-14;5812;1,016;9,143
De Witte Juffer;2016-11-13;2279;0,398;3,585
De Witte Juffer;2016-11-12;7050;1,232;11,091
De Witte Juffer;2016-11-11;6284;1,098;9,886
De Witte Juffer;2016-11-10;615;0,107;0,967
De Witte Juffer;2016-11-09;3946;0,69;6,208
De Witte Juffer;2016-11-08;1948;0,34;3,064
De Witte Juffer;2016-11-07;2601;0,455;4,092
De Witte Juffer;2016-11-06;10222;1,787;16,081
De Witte Juffer;2016-11-05;4895;0,856;7,701
De Witte Juffer;2016-11-04;7383;1,291;11,615
De Witte Juffer;2016-11-03;3731;0,652;5,869
De Witte Juffer;2016-11-02;3585;0,627;5,64
De Witte Juffer;2016-11-01;3586;0,627;5,641
De Witte Juffer;2016-10-31;1594;0,279;2,508
De Witte Juffer;2016-10-30;106;0,019;0,167
De Witte Juffer;2016-10-29;59;0,01;0,093
De Witte Juffer;2016-10-28;8647;1,511;13,603
De Witte Juffer;2016-10-27;6270;1,096;9,864
De Witte Juffer;2016-10-26;1837;0,321;2,89
De Witte Juffer;2016-10-25;-202;-0,035;-0,318
De Witte Juffer;2016-10-24;2297;0,402;3,614
De Witte Juffer;2016-10-23;293;0,051;0,461
De Witte Juffer;2016-10-22;1139;0,199;1,792
De Witte Juffer;2016-10-21;1834;0,321;2,885
De Witte Juffer;2016-10-20;7164;1,252;11,27
De Witte Juffer;2016-10-19;14628;2,557;23,012
De Witte Juffer;2016-10-18;12410;2,169;19,523
De Witte Juffer;2016-10-17;2534;0,443;3,986
De Witte Juffer;2016-10-16;7265;1,27;11,429
De Witte Juffer;2016-10-15;4169;0,729;6,558
De Witte Juffer;2016-10-14;6579;1,15;10,35
De Witte Juffer;2016-10-13;10176;1,779;16,008
De Witte Juffer;2016-10-12;6629;1,159;10,428
De Witte Juffer;2016-10-11;1041;0,182;1,638
De Witte Juffer;2016-10-10;461;0,081;0,725
De Witte Juffer;2016-10-09;502;0,088;0,79
De Witte Juffer;2016-10-08;1733;0,303;2,726
De Witte Juffer;2016-10-07;2857;0,499;4,494
De Witte Juffer;2016-10-06;6498;1,136;10,222
De Witte Juffer;2016-10-05;12733;2,226;20,031
De Witte Juffer;2016-10-04;7154;1,25;11,254
De Witte Juffer;2016-10-03;4776;0,835;7,513
De Witte Juffer;2016-10-02;9827;1,718;15,459
De Witte Juffer;2016-10-01;3812;0,666;5,997
De Witte Juffer;2016-09-30;7049;1,232;11,089
De Witte Juffer;2016-09-29;17778;3,107;27,967
De Witte Juffer;2016-09-28;13683;2,392;21,525
De Witte Juffer;2016-09-27;3447;0,603;5,423
De Witte Juffer;2016-09-26;1859;0,325;2,924
De Witte Juffer;2016-09-25;8677;1,517;13,65
De Witte Juffer;2016-09-24;6248;1,092;9,829
De Witte Juffer;2016-09-23;3365;0,588;5,294
De Witte Juffer;2016-09-22;2419;0,423;3,805
De Witte Juffer;2016-09-21;1465;0,256;2,305
De Witte Juffer;2016-09-20;92;0,016;0,145
De Witte Juffer;2016-09-19;833;0,146;1,31
De Witte Juffer;2016-09-18;3433;0,6;5,401
De Witte Juffer;2016-09-17;2272;0,397;3,574
De Witte Juffer;2016-09-16;4813;0,841;7,572
De Witte Juffer;2016-09-15;3466;0,606;5,453
De Witte Juffer;2016-09-14;3266;0,571;5,138
De Witte Juffer;2016-09-13;1626;0,284;2,558
De Witte Juffer;2016-09-12;1127;0,197;1,773
De Witte Juffer;2016-09-11;543;0,095;0,854
De Witte Juffer;2016-09-10;4233;0,74;6,659
De Witte Juffer;2016-09-09;1622;0,284;2,552
De Witte Juffer;2016-09-08;4901;0,857;7,71
De Witte Juffer;2016-09-07;814;0,142;1,281
De Witte Juffer;2016-09-06;1118;0,195;1,759
De Witte Juffer;2016-09-05;2361;0,413;3,714
De Witte Juffer;2016-09-04;8580;1,5;13,498
De Witte Juffer;2016-09-03;3210;0,561;5,05
De Witte Juffer;2016-09-02;4150;0,725;6,529
De Witte Juffer;2016-09-01;3184;0,557;5,009
De Witte Juffer;2016-08-31;1886;0,33;2,967
De Witte Juffer;2016-08-30;-147;-0,026;-0,231
De Witte Juffer;2016-08-29;2261;0,395;3,557
De Witte Juffer;2016-08-28;11940;2,087;18,783
De Witte Juffer;2016-08-27;4632;0,81;7,287
De Witte Juffer;2016-08-26;1680;0,294;2,643
De Witte Juffer;2016-08-25;37;0,006;0,058
De Witte Juffer;2016-08-24;3243;0,567;5,102
De Witte Juffer;2016-08-23;2571;0,449;4,045
De Witte Juffer;2016-08-22;9098;1,59;14,313
De Witte Juffer;2016-08-21;13904;2,43;21,873
De Witte Juffer;2016-08-20;8129;1,421;12,788
De Witte Juffer;2016-08-19;3416;0,597;5,374
De Witte Juffer;2016-08-18;3272;0,572;5,147
De Witte Juffer;2016-08-17;5079;0,888;7,99
De Witte Juffer;2016-08-16;3506;0,613;5,515
De Witte Juffer;2016-08-15;2151;0,376;3,384
De Witte Juffer;2016-08-14;1221;0,213;1,921
De Witte Juffer;2016-08-13;7063;1,235;11,111
De Witte Juffer;2016-08-12;7627;1,333;11,998
De Witte Juffer;2016-08-11;8211;1,435;12,917
De Witte Juffer;2016-08-10;2904;0,508;4,568
De Witte Juffer;2016-08-09;3359;0,587;5,284
De Witte Juffer;2016-08-08;12483;2,182;19,638
De Witte Juffer;2016-08-07;9274;1,621;14,589
De Witte Juffer;2016-08-06;4936;0,863;7,765
De Witte Juffer;2016-08-05;4453;0,778;7,005
De Witte Juffer;2016-08-04;11204;1,958;17,626
De Witte Juffer;2016-08-03;13025;2,277;20,49
De Witte Juffer;2016-08-02;3558;0,622;5,597
De Witte Juffer;2016-08-01;3127;0,547;4,919
De Witte Juffer;2016-07-31;3010;0,526;4,735
De Witte Juffer;2016-07-30;1652;0,289;2,599
De Witte Juffer;2016-07-29;6588;1,152;10,364
De Witte Juffer;2016-07-28;2871;0,502;4,517
De Witte Juffer;2016-07-27;818;0,143;1,287
De Witte Juffer;2016-07-26;544;0,095;0,856
De Witte Juffer;2016-07-25;1688;0,295;2,655
De Witte Juffer;2016-07-24;276;0,048;0,434
De Witte Juffer;2016-07-23;1240;0,217;1,951
De Witte Juffer;2016-07-22;-80;-0,014;-0,126
De Witte Juffer;2016-07-21;1721;0,301;2,707
De Witte Juffer;2016-07-20;5241;0,916;8,245
De Witte Juffer;2016-07-19;1497;0,262;2,355
De Witte Juffer;2016-07-18;625;0,109;0,983
De Witte Juffer;2016-07-17;2712;0,474;4,266
De Witte Juffer;2016-07-16;4213;0,736;6,628
De Witte Juffer;2016-07-15;2825;0,494;4,444
De Witte Juffer;2016-07-14;9086;1,588;14,294
De Witte Juffer;2016-07-13;3660;0,64;5,758
De Witte Juffer;2016-07-12;4424;0,773;6,96
De Witte Juffer;2016-07-11;20071;3,508;31,575
De Witte Juffer;2016-07-10;5113;0,894;8,044
De Witte Juffer;2016-07-09;4785;0,836;7,528
