Molen;Datum;Totale productie (kWh);Per winddeel (kWh);9 Winddelen (kWh)
De Witte Juffer;2016-07-08;9160;1,601;14,41
De Witte Juffer;2016-07-07;1035;0,181;1,628
De Witte Juffer;2016-07-06;3269;0,571;5,143
De Witte Juffer;2016-07-05;12629;2,207;19,867
De Witte Juffer;2016-07-04;138;0,024;0,217
De Witte Juffer;2016-07-03;4713;0,824;7,414
De Witte Juffer;2016-07-02;16344;2,857;25,712
De Witte Juffer;2016-07-01;10999;1,923;17,303
De Witte Juffer;2016-06-30;8034;1,404;12,639
De Witte Juffer;2016-06-29;9931;1,736;15,623
De Witte Juffer;2016-06-28;1719;0,3;2,704
De Witte Juffer;2016-06-27;5849;1,022;9,201
De Witte Juffer;2016-06-26;5177;0,905;8,144
De Witte Juffer;2016-06-25;382;0,067;0,601
De Witte Juffer;2016-06-24;3160;0,552;4,971
De Witte Juffer;2016-06-23;1596;0,279;2,511
De Witte Juffer;2016-06-22;1411;0,247;2,22
De Witte Juffer;2016-06-21;1958;0,342;3,08
De Witte Juffer;2016-06-20;15050;2,631;23,676
De Witte Juffer;2016-06-19;2799;0,489;4,403
De Witte Juffer;2016-06-18;5801;1,014;9,126
De Witte Juffer;2016-06-17;735;0,128;1,156
De Witte Juffer;2016-06-16;687;0,12;1,081
De Witte Juffer;2016-06-15;1043;0,182;1,641
De Witte Juffer;2016-06-14;3559;0,622;5,599
De Witte Juffer;2016-06-13;3569;0,624;5,615
De Witte Juffer;2016-06-12;296;0,052;0,466
De Witte Juffer;2016-06-11;200;0,035;0,315
De Witte Juffer;2016-06-10;484;0,085;0,761
De Witte Juffer;2016-06-09;2227;0,389;3,503
De Witte Juffer;2016-06-08;3574;0,625;5,622
De Witte Juffer;2016-06-07;1719;0,3;2,704
De Witte Juffer;2016-06-06;2127;0,372;3,346
De Witte Juffer;2016-06-05;4707;0,823;7,405
De Witte Juffer;2016-06-04;2695;0,471;4,24
De Witte Juffer;2016-06-03;1189;0,208;1,87
De Witte Juffer;2016-06-02;15766;2,756;24,802
De Witte Juffer;2016-06-01;9099;1,59;14,314
De Witte Juffer;2016-05-31;2529;0,442;3,979
De Witte Juffer;2016-05-30;16907;2,955;26,597
De Witte Juffer;2016-05-29;5232;0,915;8,231
De Witte Juffer;2016-05-28;2664;0,466;4,191
De Witte Juffer;2016-05-27;3176;0,555;4,996
De Witte Juffer;2016-05-26;953;0,167;1,499
De Witte Juffer;2016-05-25;-121;-0,021;-0,19
De Witte Juffer;2016-05-24;7597;1,328;11,951
De Witte Juffer;2016-05-23;16381;2,863;25,77
De Witte Juffer;2016-05-22;3539;0,619;5,567
De Witte Juffer;2016-05-21;11097;1,94;17,457
De Witte Juffer;2016-05-20;7389;1,292;11,624
De Witte Juffer;2016-05-19;1138;0,199;1,79
De Witte Juffer;2016-05-18;4951;0,865;7,789
De Witte Juffer;2016-05-17;4733;0,827;7,446
De Witte Juffer;2016-05-16;2550;0,446;4,012
De Witte Juffer;2016-05-15;10747;1,879;16,907
De Witte Juffer;2016-05-14;16457;2,877;25,889
De Witte Juffer;2016-05-13;14540;2,542;22,874
De Witte Juffer;2016-05-12;14063;2,458;22,123
De Witte Juffer;2016-05-11;5995;1,048;9,431
De Witte Juffer;2016-05-10;3714;0,649;5,843
De Witte Juffer;2016-05-09;6599;1,153;10,381
De Witte Juffer;2016-05-08;15207;2,658;23,923
De Witte Juffer;2016-05-07;4677;0,818;7,358
De Witte Juffer;2016-05-06;7168;1,253;11,276
De Witte Juffer;2016-05-05;7871;1,376;12,382
De Witte Juffer;2016-05-04;976;0,171;1,535
De Witte Juffer;2016-05-03;6910;1,208;10,87
De Witte Juffer;2016-05-02;3015;0,527;4,743
De Witte Juffer;2016-05-01;3249;0,568;5,111
De Witte Juffer;2016-04-30;5365;0,938;8,44
De Witte Juffer;2016-04-29;18348;3,207;28,864
De Witte Juffer;2016-04-28;4469;0,781;7,03
De Witte Juffer;2016-04-27;11154;1,95;17,547
De Witte Juffer;2016-04-26;23711;4,145;37,301
De Witte Juffer;2016-04-25;8306;1,452;13,067
De Witte Juffer;2016-04-24;10767;1,882;16,938
De Witte Juffer;2016-04-23;7078;1,237;11,135
De Witte Juffer;2016-04-22;6040;1,056;9,502
De Witte Juffer;2016-04-21;5929;1,036;9,327
De Witte Juffer;2016-04-20;2172;0,38;3,417
De Witte Juffer;2016-04-19;6096;1,066;9,59
De Witte Juffer;2016-04-18;12245;2,14;19,263
De Witte Juffer;2016-04-17;2301;0,402;3,62
De Witte Juffer;2016-04-16;21452;3,75;33,747
De Witte Juffer;2016-04-15;10406;1,819;16,37
De Witte Juffer;2016-04-14;1120;0,196;1,762
De Witte Juffer;2016-04-13;875;0,153;1,377
De Witte Juffer;2016-04-12;3733;0,653;5,873
De Witte Juffer;2016-04-11;12426;2,172;19,548
De Witte Juffer;2016-04-10;3623;0,633;5,7
De Witte Juffer;2016-04-09;5296;0,926;8,331
De Witte Juffer;2016-04-08;1022;0,179;1,608
De Witte Juffer;2016-04-07;15586;2,724;24,519
De Witte Juffer;2016-04-06;22451;3,924;35,319
De Witte Juffer;2016-04-05;3800;0,664;5,978
De Witte Juffer;2016-04-04;6223;1,088;9,79
De Witte Juffer;2016-04-03;6032;1,054;9,489
De Witte Juffer;2016-04-02;2161;0,378;3,4
De Witte Juffer;2016-04-01;2700;0,472;4,248
De Witte Juffer;2016-03-31;3185;0,557;5,01
De Witte Juffer;2016-03-30;18784;3,283;29,55
De Witte Juffer;2016-03-29;25400;4,44;39,958
De Witte Juffer;2016-03-28;39154;6,844;61,595
De Witte Juffer;2016-03-27;20296;3,548;31,929
De Witte Juffer;2016-03-26;22423;3,919;35,275
De Witte Juffer;2016-03-25;12538;2,192;19,724
De Witte Juffer;2016-03-24;5175;0,905;8,141
De Witte Juffer;2016-03-23;4423;0,773;6,958
De Witte Juffer;2016-03-22;3917;0,685;6,162
De Witte Juffer;2016-03-21;4013;0,701;6,313
De Witte Juffer;2016-03-20;3586;0,627;5,641
De Witte Juffer;2016-03-19;6564;1,147;10,326
De Witte Juffer;2016-03-18;2340;0,409;3,681
De Witte Juffer;2016-03-17;7349;1,285;11,561
De Witte Juffer;2016-03-16;15307;2,676;24,08
De Witte Juffer;2016-03-15;4603;0,805;7,241
De Witte Juffer;2016-03-14;11429;1,998;17,98
De Witte Juffer;2016-03-13;9479;1,657;14,912
De Witte Juffer;2016-03-12;2174;0,38;3,42
De Witte Juffer;2016-03-11;4212;0,736;6,626
De Witte Juffer;2016-03-10;4972;0,869;7,822
De Witte Juffer;2016-03-09;26250;4,588;41,295
De Witte Juffer;2016-03-08;4491;0,785;7,065
De Witte Juffer;2016-03-07;792;0,138;1,246
De Witte Juffer;2016-03-06;762;0,133;1,199
De Witte Juffer;2016-03-05;452;0,079;0,711
De Witte Juffer;2016-03-04;13477;2,356;21,201
De Witte Juffer;2016-03-03;4056;0,709;6,381
De Witte Juffer;2016-03-02;22629;3,955;35,599
De Witte Juffer;2016-03-01;19168;3,35;30,154
De Witte Juffer;2016-02-29;2917;0,51;4,589
De Witte Juffer;2016-02-28;13913;2,432;21,887
De Witte Juffer;2016-02-27;9507;1,662;14,956
De Witte Juffer;2016-02-26;1221;0,213;1,921
De Witte Juffer;2016-02-25;3713;0,649;5,841
De Witte Juffer;2016-02-24;1832;0,32;2,882
De Witte Juffer;2016-02-23;6621;1,157;10,416
De Witte Juffer;2016-02-22;17425;3,046;27,412
De Witte Juffer;2016-02-21;39920;6,978;62,8
De Witte Juffer;2016-02-20;37468;6,549;58,943
De Witte Juffer;2016-02-19;7785;1,361;12,247
De Witte Juffer;2016-02-18;3750;0,655;5,899
De Witte Juffer;2016-02-17;3129;0,547;4,922
De Witte Juffer;2016-02-16;2199;0,384;3,459
De Witte Juffer;2016-02-15;16225;2,836;25,524
De Witte Juffer;2016-02-14;10722;1,874;16,867
De Witte Juffer;2016-02-13;5832;1,019;9,175
De Witte Juffer;2016-02-12;2830;0,495;4,452
De Witte Juffer;2016-02-11;7576;1,324;11,918
De Witte Juffer;2016-02-10;10277;1,796;16,167
De Witte Juffer;2016-02-09;22329;3,903;35,127
De Witte Juffer;2016-02-08;45784;8,003;72,025
De Witte Juffer;2016-02-07;32839;5,74;51,661
De Witte Juffer;2016-02-06;23098;4,037;36,337
De Witte Juffer;2016-02-05;12225;2,137;19,232
De Witte Juffer;2016-02-04;10642;1,86;16,741
De Witte Juffer;2016-02-03;13063;2,283;20,55
De Witte Juffer;2016-02-02;38728;6,769;60,925
De Witte Juffer;2016-02-01;44690;7,812;70,304
De Witte Juffer;2016-01-31;14950;2,613;23,519
De Witte Juffer;2016-01-30;29190;5,102;45,92
De Witte Juffer;2016-01-29;39330;6,875;61,872
De Witte Juffer;2016-01-28;13344;2,332;20,992
De Witte Juffer;2016-01-27;39947;6,983;62,843
De Witte Juffer;2016-01-26;25452;4,449;40,04
De Witte Juffer;2016-01-25;11901;2,08;18,722
De Witte Juffer;2016-01-24;9372;1,638;14,744
De Witte Juffer;2016-01-23;12315;2,153;19,373
De Witte Juffer;2016-01-22;11060;1,933;17,399
De Witte Juffer;2016-01-21;1807;0,316;2,843
De Witte Juffer;2016-01-20;2657;0,464;4,18
De Witte Juffer;2016-01-19;1575;0,275;2,478
De Witte Juffer;2016-01-18;3932;0,687;6,186
De Witte Juffer;2016-01-17;4520;0,79;7,111
De Witte Juffer;2016-01-16;14403;2,518;22,658
De Witte Juffer;2016-01-15;7816;1,366;12,296
De Witte Juffer;2016-01-14;22874;3,998;35,984
De Witte Juffer;2016-01-13;15023;2,626;23,633
De Witte Juffer;2016-01-12;21131;3,694;33,242
De Witte Juffer;2016-01-11;11134;1,946;17,515
De Witte Juffer;2016-01-10;22242;3,888;34,99
De Witte Juffer;2016-01-09;14008;2,449;22,037
De Witte Juffer;2016-01-08;19610;3,428;30,85
De Witte Juffer;2016-01-07;25645;4,483;40,343
De Witte Juffer;2016-01-06;988;0,173;1,554
De Witte Juffer;2016-01-05;5580;0,975;8,778
De Witte Juffer;2016-01-04;6483;1,133;10,199
De Witte Juffer;2016-01-03;22409;3,917;35,253
De Witte Juffer;2016-01-02;21639;3,782;34,041
De Witte Juffer;2016-01-01;7562;1,322;11,896
De Witte Juffer;2015-12-31;22796;3,985;35,862
De Witte Juffer;2015-12-30;23604;4,126;37,133
De Witte Juffer;2015-12-29;10361;1,811;16,299
De Witte Juffer;2015-12-28;10851;1,897;17,07
De Witte Juffer;2015-12-27;26767;4,679;42,109
De Witte Juffer;2015-12-26;36098;6,31;56,788
De Witte Juffer;2015-12-25;17477;3,055;27,494
De Witte Juffer;2015-12-24;28272;4,942;44,476
De Witte Juffer;2015-12-23;29433;5,145;46,303
De Witte Juffer;2015-12-22;33610;5,875;52,874
De Witte Juffer;2015-12-21;29999;5,244;47,193
De Witte Juffer;2015-12-20;17325;3,028;27,255
De Witte Juffer;2015-12-19;17159;2,999;26,994
De Witte Juffer;2015-12-18;11648;2,036;18,324
De Witte Juffer;2015-12-17;14597;2,551;22,963
De Witte Juffer;2015-12-16;14319;2,503;22,526
De Witte Juffer;2015-12-15;2801;0,49;4,406
De Witte Juffer;2015-12-14;2432;0,425;3,826
De Witte Juffer;2015-12-13;7966;1,392;12,532
De Witte Juffer;2015-12-12;21860;3,821;34,389
De Witte Juffer;2015-12-11;20274;3,544;31,894
De Witte Juffer;2015-12-10;31573;5,519;49,669
De Witte Juffer;2015-12-09;13443;2,35;21,148
De Witte Juffer;2015-12-08;15926;2,784;25,054
De Witte Juffer;2015-12-07;6738;1,178;10,6
De Witte Juffer;2015-12-06;33217;5,806;52,255
De Witte Juffer;2015-12-05;37131;6,49;58,413
De Witte Juffer;2015-12-04;23920;4,181;37,63
De Witte Juffer;2015-12-03;16249;2,84;25,562
De Witte Juffer;2015-12-02;15528;2,714;24,428
De Witte Juffer;2015-12-01;11638;2,034;18,308
De Witte Juffer;2015-11-30;31009;5,42;48,782
De Witte Juffer;2015-11-29;40828;7,137;64,229
De Witte Juffer;2015-11-28;26847;4,693;42,234
De Witte Juffer;2015-11-27;18451;3,225;29,026
De Witte Juffer;2015-11-26;3938;0,688;6,195
De Witte Juffer;2015-11-25;6323;1,105;9,947
De Witte Juffer;2015-11-24;28630;5,004;45,039
De Witte Juffer;2015-11-23;7306;1,277;11,493
De Witte Juffer;2015-11-22;5687;0,994;8,947
De Witte Juffer;2015-11-21;11752;2,054;18,488
De Witte Juffer;2015-11-20;10543;1,843;16,586
De Witte Juffer;2015-11-19;32484;5,678;51,102
De Witte Juffer;2015-11-18;37745;6,598;59,379
De Witte Juffer;2015-11-17;31616;5,526;49,737
De Witte Juffer;2015-11-16;23617;4,128;37,153
De Witte Juffer;2015-11-15;44978;7,862;70,757
De Witte Juffer;2015-11-14;24076;4,208;37,875
De Witte Juffer;2015-11-13;27414;4,792;43,126
De Witte Juffer;2015-11-12;9625;1,682;15,142
De Witte Juffer;2015-11-11;12141;2,122;19,1
De Witte Juffer;2015-11-10;31999;5,593;50,339
De Witte Juffer;2015-11-09;33293;5,819;52,375
De Witte Juffer;2015-11-08;10567;1,847;16,623
De Witte Juffer;2015-11-07;21989;3,844;34,592
De Witte Juffer;2015-11-06;14344;2,507;22,565
De Witte Juffer;2015-11-05;7894;1,38;12,418
De Witte Juffer;2015-11-04;7736;1,352;12,17
De Witte Juffer;2015-11-03;4439;0,776;6,983
De Witte Juffer;2015-11-02;3706;0,648;5,83
De Witte Juffer;2015-11-01;1438;0,251;2,262
De Witte Juffer;2015-10-31;6255;1,093;9,84
De Witte Juffer;2015-10-30;6824;1,193;10,735
De Witte Juffer;2015-10-29;2646;0,463;4,163
De Witte Juffer;2015-10-28;4231;0,74;6,656
De Witte Juffer;2015-10-27;6508;1,138;10,238
De Witte Juffer;2015-10-26;3411;0,596;5,366
De Witte Juffer;2015-10-25;1406;0,246;2,212
De Witte Juffer;2015-10-24;2181;0,381;3,431
De Witte Juffer;2015-10-23;1377;0,241;2,166
De Witte Juffer;2015-10-22;4853;0,848;7,635
De Witte Juffer;2015-10-21;5978;1,045;9,404
De Witte Juffer;2015-10-20;1110;0,194;1,746
De Witte Juffer;2015-10-19;243;0,042;0,382
De Witte Juffer;2015-10-18;-131;-0,023;-0,206
De Witte Juffer;2015-10-17;-167;-0,029;-0,263
De Witte Juffer;2015-10-16;187;0,033;0,294
De Witte Juffer;2015-10-15;679;0,119;1,068
De Witte Juffer;2015-10-14;1408;0,246;2,215
De Witte Juffer;2015-10-13;7188;1,256;11,308
De Witte Juffer;2015-10-12;2441;0,427;3,84
De Witte Juffer;2015-10-11;8522;1,49;13,406
De Witte Juffer;2015-10-10;3882;0,679;6,107
De Witte Juffer;2015-10-09;570;0,1;0,897
De Witte Juffer;2015-10-08;1269;0,222;1,996
De Witte Juffer;2015-10-07;8589;1,501;13,512
De Witte Juffer;2015-10-06;2739;0,479;4,309
De Witte Juffer;2015-10-05;4239;0,741;6,669
De Witte Juffer;2015-10-04;514;0,09;0,809
De Witte Juffer;2015-10-03;653;0,114;1,027
De Witte Juffer;2015-10-02;4215;0,737;6,631
De Witte Juffer;2015-10-01;6617;1,157;10,41
De Witte Juffer;2015-09-30;10568;1,847;16,625
De Witte Juffer;2015-09-29;10341;1,808;16,268
De Witte Juffer;2015-09-28;5409;0,945;8,509
De Witte Juffer;2015-09-27;4281;0,748;6,735
De Witte Juffer;2015-09-26;1448;0,253;2,278
De Witte Juffer;2015-09-25;2107;0,368;3,315
De Witte Juffer;2015-09-24;10522;1,839;16,553
De Witte Juffer;2015-09-23;3348;0,585;5,267
De Witte Juffer;2015-09-22;3903;0,682;6,14
De Witte Juffer;2015-09-21;6424;1,123;10,106
De Witte Juffer;2015-09-20;3584;0,626;5,638
De Witte Juffer;2015-09-19;1205;0,211;1,896
De Witte Juffer;2015-09-18;7155;1,251;11,256
De Witte Juffer;2015-09-17;15372;2,687;24,182
De Witte Juffer;2015-09-16;14046;2,455;22,096
De Witte Juffer;2015-09-15;13491;2,358;21,223
De Witte Juffer;2015-09-14;-143;-0,025;-0,225
De Witte Juffer;2015-09-13;-122;-0,021;-0,192
De Witte Juffer;2015-09-12;-116;-0,02;-0,182
De Witte Juffer;2015-09-11;-122;-0,021;-0,192
De Witte Juffer;2015-09-10;-168;-0,029;-0,264
De Witte Juffer;2015-09-09;-170;-0,03;-0,267
De Witte Juffer;2015-09-08;-189;-0,033;-0,297
De Witte Juffer;2015-09-07;-65;-0,011;-0,102
De Witte Juffer;2015-09-06;7794;1,362;12,261
De Witte Juffer;2015-09-05;9021;1,577;14,191
De Witte Juffer;2015-09-04;17239;3,013;27,12
De Witte Juffer;2015-09-03;2208;0,386;3,474
De Witte Juffer;2015-09-02;2421;0,423;3,809
De Witte Juffer;2015-09-01;5132;0,897;8,073
De Witte Juffer;2015-08-31;2522;0,441;3,967
De Witte Juffer;2015-08-30;2569;0,449;4,041
De Witte Juffer;2015-08-29;433;0,076;0,681
De Witte Juffer;2015-08-28;2969;0,519;4,671
De Witte Juffer;2015-08-27;6632;1,159;10,433
De Witte Juffer;2015-08-26;13139;2,297;20,67
De Witte Juffer;2015-08-25;20242;3,538;31,844
De Witte Juffer;2015-08-24;9032;1,579;14,209
De Witte Juffer;2015-08-23;10580;1,849;16,644
De Witte Juffer;2015-08-22;4870;0,851;7,661
De Witte Juffer;2015-08-21;601;0,105;0,945
De Witte Juffer;2015-08-20;2431;0,425;3,824
De Witte Juffer;2015-08-19;1440;0,252;2,265
De Witte Juffer;2015-08-18;7455;1,303;11,728
De Witte Juffer;2015-08-17;5936;1,038;9,338
De Witte Juffer;2015-08-16;4810;0,841;7,567
De Witte Juffer;2015-08-15;5788;1,012;9,105
De Witte Juffer;2015-08-14;2094;0,366;3,294
De Witte Juffer;2015-08-13;6857;1,199;10,787
De Witte Juffer;2015-08-12;2506;0,438;3,942
De Witte Juffer;2015-08-11;696;0,122;1,095
De Witte Juffer;2015-08-10;-197;-0,034;-0,31
De Witte Juffer;2015-08-09;129;0,023;0,203
De Witte Juffer;2015-08-08;2797;0,489;4,4
De Witte Juffer;2015-08-07;994;0,174;1,564
De Witte Juffer;2015-08-06;4017;0,702;6,319
De Witte Juffer;2015-08-05;4735;0,828;7,449
De Witte Juffer;2015-08-04;6764;1,182;10,641
De Witte Juffer;2015-08-03;4743;0,829;7,461
De Witte Juffer;2015-08-02;683;0,119;1,074
De Witte Juffer;2015-08-01;283;0,049;0,445
De Witte Juffer;2015-07-31;638;0,112;1,004
De Witte Juffer;2015-07-30;5016;0,877;7,891
De Witte Juffer;2015-07-29;13693;2,393;21,541
De Witte Juffer;2015-07-28;26157;4,572;41,149
De Witte Juffer;2015-07-27;26952;4,711;42,4
De Witte Juffer;2015-07-26;7581;1,325;11,926
De Witte Juffer;2015-07-25;22683;3,965;35,684
De Witte Juffer;2015-07-24;1207;0,211;1,899
De Witte Juffer;2015-07-23;856;0,15;1,347
De Witte Juffer;2015-07-22;4701;0,822;7,395
De Witte Juffer;2015-07-21;9647;1,686;15,176
De Witte Juffer;2015-07-20;747;0,131;1,175
De Witte Juffer;2015-07-19;4978;0,87;7,831
De Witte Juffer;2015-07-18;4201;0,734;6,609
De Witte Juffer;2015-07-17;15450;2,701;24,305
De Witte Juffer;2015-07-16;348;0,061;0,547
De Witte Juffer;2015-07-15;2180;0,381;3,429
De Witte Juffer;2015-07-14;4985;0,871;7,842
De Witte Juffer;2015-07-13;8016;1,401;12,61
De Witte Juffer;2015-07-12;9863;1,724;15,516
De Witte Juffer;2015-07-11;4176;0,73;6,569
De Witte Juffer;2015-07-10;768;0,134;1,208
De Witte Juffer;2015-07-09;9288;1,623;14,611
De Witte Juffer;2015-07-08;15259;2,667;24,005
De Witte Juffer;2015-07-07;10726;1,875;16,874
De Witte Juffer;2015-07-06;5437;0,95;8,553
De Witte Juffer;2015-07-05;5072;0,887;7,979
De Witte Juffer;2015-07-04;4619;0,807;7,266
De Witte Juffer;2015-07-03;694;0,121;1,092
De Witte Juffer;2015-07-02;5529;0,966;8,698
De Witte Juffer;2015-07-01;1703;0,298;2,679
De Witte Juffer;2015-06-30;1387;0,242;2,182
De Witte Juffer;2015-06-29;327;0,057;0,514
De Witte Juffer;2015-06-28;614;0,107;0,966
De Witte Juffer;2015-06-27;6182;1,081;9,725
De Witte Juffer;2015-06-26;466;0,081;0,733
De Witte Juffer;2015-06-25;583;0,102;0,917
De Witte Juffer;2015-06-24;2102;0,367;3,307
De Witte Juffer;2015-06-23;9285;1,623;14,607
De Witte Juffer;2015-06-22;4423;0,773;6,958
De Witte Juffer;2015-06-21;5041;0,881;7,93
De Witte Juffer;2015-06-20;427;0,075;0,672
De Witte Juffer;2015-06-19;7296;1,275;11,478
De Witte Juffer;2015-06-18;10245;1,791;16,117
De Witte Juffer;2015-06-17;7851;1,372;12,351
De Witte Juffer;2015-06-16;1031;0,18;1,622
De Witte Juffer;2015-06-15;7405;1,294;11,649
De Witte Juffer;2015-06-14;1509;0,264;2,374
De Witte Juffer;2015-06-13;15528;2,714;24,428
De Witte Juffer;2015-06-12;3131;0,547;4,926
De Witte Juffer;2015-06-11;5536;0,968;8,709
De Witte Juffer;2015-06-10;6957;1,216;10,944
De Witte Juffer;2015-06-09;8323;1,455;13,093
De Witte Juffer;2015-06-08;12419;2,171;19,537
De Witte Juffer;2015-06-07;4955;0,866;7,795
De Witte Juffer;2015-06-06;7037;1,23;11,07
De Witte Juffer;2015-06-05;3488;0,61;5,487
De Witte Juffer;2015-06-04;1622;0,284;2,552
De Witte Juffer;2015-06-03;12525;2,189;19,704
De Witte Juffer;2015-06-02;33657;5,883;52,948
De Witte Juffer;2015-06-01;3384;0,592;5,324
De Witte Juffer;2015-05-31;17115;2,992;26,924
De Witte Juffer;2015-05-30;8788;1,536;13,825
De Witte Juffer;2015-05-29;13360;2,335;21,017
De Witte Juffer;2015-05-28;11334;1,981;17,83
De Witte Juffer;2015-05-27;2590;0,453;4,074
De Witte Juffer;2015-05-26;6202;1,084;9,757
De Witte Juffer;2015-05-25;3799;0,664;5,976
De Witte Juffer;2015-05-24;716;0,125;1,126
De Witte Juffer;2015-05-23;4137;0,723;6,508
De Witte Juffer;2015-05-22;2014;0,352;3,168
De Witte Juffer;2015-05-21;1959;0,342;3,082
De Witte Juffer;2015-05-20;6519;1,139;10,255
De Witte Juffer;2015-05-19;18158;3,174;28,565
De Witte Juffer;2015-05-18;12485;2,182;19,641
De Witte Juffer;2015-05-17;3827;0,669;6,02
De Witte Juffer;2015-05-16;7683;1,343;12,087
De Witte Juffer;2015-05-15;4637;0,811;7,295
De Witte Juffer;2015-05-14;1930;0,337;3,036
De Witte Juffer;2015-05-13;4656;0,814;7,325
De Witte Juffer;2015-05-12;7092;1,24;11,157
De Witte Juffer;2015-05-11;4887;0,854;7,688
De Witte Juffer;2015-05-10;902;0,158;1,419
De Witte Juffer;2015-05-09;27906;4,878;43,9
De Witte Juffer;2015-05-08;1141;0,199;1,795
De Witte Juffer;2015-05-07;14072;2,46;22,137
De Witte Juffer;2015-05-06;24507;4,284;38,553
De Witte Juffer;2015-05-05;29226;5,109;45,977
De Witte Juffer;2015-05-04;8134;1,422;12,796
De Witte Juffer;2015-05-03;12768;2,232;20,086
De Witte Juffer;2015-05-02;528;0,092;0,831
De Witte Juffer;2015-05-01;3252;0,568;5,116
De Witte Juffer;2015-04-30;8420;1,472;13,246
De Witte Juffer;2015-04-29;10154;1,775;15,974
De Witte Juffer;2015-04-28;7386;1,291;11,619
De Witte Juffer;2015-04-27;8537;1,492;13,43
De Witte Juffer;2015-04-26;3387;0,592;5,328
De Witte Juffer;2015-04-25;4587;0,802;7,216
De Witte Juffer;2015-04-24;3411;0,596;5,366
De Witte Juffer;2015-04-23;500;0,087;0,787
De Witte Juffer;2015-04-22;6422;1,123;10,103
De Witte Juffer;2015-04-21;5230;0,914;8,228
De Witte Juffer;2015-04-20;6893;1,205;10,844
De Witte Juffer;2015-04-19;668;0,117;1,051
De Witte Juffer;2015-04-18;8069;1,41;12,694
De Witte Juffer;2015-04-17;8059;1,409;12,678
De Witte Juffer;2015-04-16;3283;0,574;5,165
De Witte Juffer;2015-04-15;7451;1,302;11,722
De Witte Juffer;2015-04-14;9911;1,732;15,592
De Witte Juffer;2015-04-13;3414;0,597;5,371
De Witte Juffer;2015-04-12;18279;3,195;28,756
De Witte Juffer;2015-04-11;17157;2,999;26,991
De Witte Juffer;2015-04-10;-193;-0,034;-0,304
De Witte Juffer;2015-04-09;1244;0,217;1,957
De Witte Juffer;2015-04-08;173;0,03;0,272
De Witte Juffer;2015-04-07;3122;0,546;4,911
