Molen;Datum;Totale productie (kWh);Per winddeel (kWh);9 Winddelen (kWh)
De Witte Juffer;2015-04-06;-26;-0,005;-0,041
De Witte Juffer;2015-04-05;1882;0,329;2,961
De Witte Juffer;2015-04-04;7739;1,353;12,175
De Witte Juffer;2015-04-03;260;0,045;0,409
De Witte Juffer;2015-04-02;23988;4,193;37,737
De Witte Juffer;2015-04-01;37348;6,528;58,754
De Witte Juffer;2015-03-31;40909;7,151;64,356
De Witte Juffer;2015-03-30;30816;5,386;48,478
De Witte Juffer;2015-03-29;37698;6,589;59,305
De Witte Juffer;2015-03-28;20772;3,631;32,678
De Witte Juffer;2015-03-27;11670;2,04;18,359
De Witte Juffer;2015-03-26;12692;2,218;19,966
De Witte Juffer;2015-03-25;1341;0,234;2,11
De Witte Juffer;2015-03-24;1539;0,269;2,421
De Witte Juffer;2015-03-23;1398;0,244;2,199
De Witte Juffer;2015-03-22;4884;0,854;7,683
De Witte Juffer;2015-03-21;18094;3,163;28,465
De Witte Juffer;2015-03-20;491;0,086;0,772
De Witte Juffer;2015-03-19;440;0,077;0,692
De Witte Juffer;2015-03-18;3034;0,53;4,773
De Witte Juffer;2015-03-17;454;0,079;0,714
De Witte Juffer;2015-03-16;2885;0,504;4,539
De Witte Juffer;2015-03-15;8746;1,529;13,759
De Witte Juffer;2015-03-14;6723;1,175;10,576
De Witte Juffer;2015-03-13;5635;0,985;8,865
De Witte Juffer;2015-03-12;7070;1,236;11,122
De Witte Juffer;2015-03-11;572;0,1;0,9
De Witte Juffer;2015-03-10;3304;0,578;5,198
De Witte Juffer;2015-03-09;3320;0,58;5,223
De Witte Juffer;2015-03-08;9407;1,644;14,799
De Witte Juffer;2015-03-07;17109;2,991;26,915
De Witte Juffer;2015-03-06;6741;1,178;10,605
De Witte Juffer;2015-03-05;4890;0,855;7,693
De Witte Juffer;2015-03-04;18389;3,214;28,929
De Witte Juffer;2015-03-03;18578;3,247;29,226
De Witte Juffer;2015-03-02;31502;5,506;49,557
De Witte Juffer;2015-03-01;37343;6,527;58,746
De Witte Juffer;2015-02-28;24927;4,357;39,214
De Witte Juffer;2015-02-27;9129;1,596;14,361
De Witte Juffer;2015-02-26;11642;2,035;18,315
De Witte Juffer;2015-02-25;7399;1,293;11,64
De Witte Juffer;2015-02-24;24259;4,24;38,163
De Witte Juffer;2015-02-23;28034;4,9;44,102
De Witte Juffer;2015-02-22;15479;2,706;24,351
De Witte Juffer;2015-02-21;5439;0,951;8,556
De Witte Juffer;2015-02-20;22374;3,911;35,198
De Witte Juffer;2015-02-19;19795;3,46;31,141
De Witte Juffer;2015-02-18;5281;0,923;8,308
De Witte Juffer;2015-02-17;1939;0,339;3,05
De Witte Juffer;2015-02-16;1036;0,181;1,63
De Witte Juffer;2015-02-15;3367;0,589;5,297
De Witte Juffer;2015-02-14;11411;1,995;17,951
De Witte Juffer;2015-02-13;11458;2,003;18,025
De Witte Juffer;2015-02-12;130;0,023;0,205
De Witte Juffer;2015-02-11;593;0,104;0,933
De Witte Juffer;2015-02-10;868;0,152;1,365
De Witte Juffer;2015-02-09;7245;1,266;11,397
De Witte Juffer;2015-02-08;22137;3,869;34,825
De Witte Juffer;2015-02-07;6246;1,092;9,826
De Witte Juffer;2015-02-06;15367;2,686;24,175
De Witte Juffer;2015-02-05;6773;1,184;10,655
De Witte Juffer;2015-02-04;2769;0,484;4,356
De Witte Juffer;2015-02-03;2574;0,45;4,049
De Witte Juffer;2015-02-02;5069;0,886;7,974
De Witte Juffer;2015-02-01;5019;0,877;7,896
De Witte Juffer;2015-01-31;4440;0,776;6,985
De Witte Juffer;2015-01-30;2213;0,387;3,481
De Witte Juffer;2015-01-29;14075;2,46;22,142
De Witte Juffer;2015-01-28;28587;4,997;44,972
De Witte Juffer;2015-01-27;6024;1,053;9,477
De Witte Juffer;2015-01-26;13022;2,276;20,486
De Witte Juffer;2015-01-25;6814;1,191;10,719
De Witte Juffer;2015-01-24;9198;1,608;14,47
De Witte Juffer;2015-01-23;1863;0,326;2,931
De Witte Juffer;2015-01-22;4361;0,762;6,861
De Witte Juffer;2015-01-21;5492;0,96;8,64
De Witte Juffer;2015-01-20;154;0,027;0,242
De Witte Juffer;2015-01-19;-156;-0,027;-0,245
De Witte Juffer;2015-01-18;5246;0,917;8,253
De Witte Juffer;2015-01-17;10571;1,848;16,63
De Witte Juffer;2015-01-16;18067;3,158;28,422
De Witte Juffer;2015-01-15;39340;6,876;61,888
De Witte Juffer;2015-01-14;25958;4,537;40,836
De Witte Juffer;2015-01-13;31069;5,431;48,876
De Witte Juffer;2015-01-12;41605;7,272;65,451
De Witte Juffer;2015-01-11;37336;6,526;58,735
De Witte Juffer;2015-01-10;39070;6,829;61,463
De Witte Juffer;2015-01-09;39731;6,945;62,503
De Witte Juffer;2015-01-08;23573;4,12;37,084
De Witte Juffer;2015-01-07;15214;2,659;23,934
De Witte Juffer;2015-01-06;4639;0,811;7,298
De Witte Juffer;2015-01-05;5007;0,875;7,877
De Witte Juffer;2015-01-04;5662;0,99;8,907
De Witte Juffer;2015-01-03;8009;1,4;12,599
De Witte Juffer;2015-01-02;27783;4,856;43,707
De Witte Juffer;2015-01-01;24019;4,198;37,786
De Witte Juffer;2014-12-31;7094;1,24;11,16
De Witte Juffer;2014-12-30;6796;1,188;10,691
De Witte Juffer;2014-12-29;8811;1,54;13,861
De Witte Juffer;2014-12-28;4124;0,721;6,488
De Witte Juffer;2014-12-27;7591;1,327;11,942
De Witte Juffer;2014-12-26;4477;0,783;7,043
De Witte Juffer;2014-12-25;12826;2,242;20,177
De Witte Juffer;2014-12-24;26138;4,569;41,119
De Witte Juffer;2014-12-23;41825;7,311;65,797
De Witte Juffer;2014-12-22;46138;8,065;72,582
De Witte Juffer;2014-12-21;27686;4,839;43,554
De Witte Juffer;2014-12-20;28331;4,952;44,569
De Witte Juffer;2014-12-19;31075;5,432;48,886
De Witte Juffer;2014-12-18;29609;5,175;46,579
De Witte Juffer;2014-12-17;17423;3,045;27,409
De Witte Juffer;2014-12-16;8493;1,485;13,361
De Witte Juffer;2014-12-15;18123;3,168;28,51
De Witte Juffer;2014-12-14;15208;2,658;23,924
De Witte Juffer;2014-12-13;5702;0,997;8,97
De Witte Juffer;2014-12-12;31336;5,477;49,296
De Witte Juffer;2014-12-11;34387;6,011;54,096
De Witte Juffer;2014-12-10;29456;5,149;46,339
De Witte Juffer;2014-12-09;9305;1,626;14,638
De Witte Juffer;2014-12-08;12881;2,252;20,264
De Witte Juffer;2014-12-07;19626;3,431;30,875
De Witte Juffer;2014-12-06;2073;0,362;3,261
De Witte Juffer;2014-12-05;1868;0,327;2,939
De Witte Juffer;2014-12-04;487;0,085;0,766
De Witte Juffer;2014-12-03;5129;0,897;8,069
De Witte Juffer;2014-12-02;1224;0,214;1,926
De Witte Juffer;2014-12-01;5155;0,901;8,11
De Witte Juffer;2014-11-30;1205;0,211;1,896
De Witte Juffer;2014-11-29;4348;0,76;6,84
De Witte Juffer;2014-11-28;8770;1,533;13,797
De Witte Juffer;2014-11-27;6534;1,142;10,279
De Witte Juffer;2014-11-26;8517;1,489;13,399
De Witte Juffer;2014-11-25;2858;0,5;4,496
De Witte Juffer;2014-11-24;1862;0,325;2,929
De Witte Juffer;2014-11-23;5585;0,976;8,786
De Witte Juffer;2014-11-22;6128;1,071;9,64
De Witte Juffer;2014-11-21;3686;0,644;5,799
De Witte Juffer;2014-11-20;1042;0,182;1,639
De Witte Juffer;2014-11-19;-199;-0,035;-0,313
De Witte Juffer;2014-11-18;3205;0,56;5,042
De Witte Juffer;2014-11-17;4000;0,699;6,293
De Witte Juffer;2014-11-16;273;0,048;0,429
De Witte Juffer;2014-11-15;2367;0,414;3,724
De Witte Juffer;2014-11-14;11888;2,078;18,702
De Witte Juffer;2014-11-13;5912;1,033;9,3
De Witte Juffer;2014-11-12;6636;1,16;10,439
De Witte Juffer;2014-11-11;14004;2,448;22,03
De Witte Juffer;2014-11-10;10816;1,891;17,015
De Witte Juffer;2014-11-09;6952;1,215;10,937
De Witte Juffer;2014-11-08;19290;3,372;30,346
De Witte Juffer;2014-11-07;24943;4,36;39,239
De Witte Juffer;2014-11-06;2275;0,398;3,579
De Witte Juffer;2014-11-05;341;0,06;0,536
De Witte Juffer;2014-11-04;3455;0,604;5,435
De Witte Juffer;2014-11-03;27823;4,863;43,77
De Witte Juffer;2014-11-02;18065;3,158;28,419
De Witte Juffer;2014-11-01;7101;1,241;11,171
De Witte Juffer;2014-10-31;7443;1,301;11,709
De Witte Juffer;2014-10-30;3389;0,592;5,331
De Witte Juffer;2014-10-29;1949;0,341;3,066
De Witte Juffer;2014-10-28;7897;1,38;12,423
De Witte Juffer;2014-10-27;5743;1,004;9,035
De Witte Juffer;2014-10-26;6284;1,098;9,886
De Witte Juffer;2014-10-25;4059;0,709;6,385
De Witte Juffer;2014-10-24;10614;1,855;16,697
De Witte Juffer;2014-10-23;5605;0,98;8,818
De Witte Juffer;2014-10-22;20767;3,63;32,67
De Witte Juffer;2014-10-21;24028;4,2;37,8
De Witte Juffer;2014-10-20;15978;2,793;25,136
De Witte Juffer;2014-10-19;17716;3,097;27,87
De Witte Juffer;2014-10-18;10269;1,795;16,155
De Witte Juffer;2014-10-17;5058;0,884;7,957
De Witte Juffer;2014-10-16;6171;1,079;9,708
De Witte Juffer;2014-10-15;3770;0,659;5,931
De Witte Juffer;2014-10-14;11007;1,924;17,316
De Witte Juffer;2014-10-13;6846;1,197;10,77
De Witte Juffer;2014-10-12;5231;0,914;8,229
De Witte Juffer;2014-10-11;2123;0,371;3,34
De Witte Juffer;2014-10-10;7262;1,269;11,424
De Witte Juffer;2014-10-09;14033;2,453;22,076
De Witte Juffer;2014-10-08;14004;2,448;22,03
De Witte Juffer;2014-10-07;19428;3,396;30,563
De Witte Juffer;2014-10-06;3940;0,689;6,198
De Witte Juffer;2014-10-05;2116;0,37;3,329
De Witte Juffer;2014-10-04;6160;1,077;9,691
De Witte Juffer;2014-10-03;1240;0,217;1,951
De Witte Juffer;2014-10-02;-92;-0,016;-0,145
De Witte Juffer;2014-10-01;507;0,089;0,798
De Witte Juffer;2014-09-30;2864;0,501;4,506
De Witte Juffer;2014-09-29;2307;0,403;3,629
De Witte Juffer;2014-09-28;2102;0,367;3,307
De Witte Juffer;2014-09-27;869;0,152;1,367
De Witte Juffer;2014-09-26;4879;0,853;7,675
De Witte Juffer;2014-09-25;8297;1,45;13,052
De Witte Juffer;2014-09-24;5894;1,03;9,272
De Witte Juffer;2014-09-23;79;0,014;0,124
De Witte Juffer;2014-09-22;10448;1,826;16,436
De Witte Juffer;2014-09-21;8520;1,489;13,403
De Witte Juffer;2014-09-20;783;0,137;1,232
De Witte Juffer;2014-09-19;-125;-0,022;-0,197
De Witte Juffer;2014-09-18;1630;0,285;2,564
De Witte Juffer;2014-09-17;2641;0,462;4,155
De Witte Juffer;2014-09-16;39;0,007;0,061
De Witte Juffer;2014-09-15;423;0,074;0,665
De Witte Juffer;2014-09-14;1509;0,264;2,374
De Witte Juffer;2014-09-13;4082;0,714;6,422
De Witte Juffer;2014-09-12;4596;0,803;7,23
De Witte Juffer;2014-09-11;3791;0,663;5,964
De Witte Juffer;2014-09-10;1840;0,322;2,895
De Witte Juffer;2014-09-09;178;0,031;0,28
De Witte Juffer;2014-09-08;501;0,088;0,788
De Witte Juffer;2014-09-07;240;0,042;0,378
De Witte Juffer;2014-09-06;54;0,009;0,085
De Witte Juffer;2014-09-05;547;0,096;0,861
De Witte Juffer;2014-09-04;1369;0,239;2,154
De Witte Juffer;2014-09-03;4027;0,704;6,335
De Witte Juffer;2014-09-02;177;0,031;0,278
De Witte Juffer;2014-09-01;203;0,035;0,319
De Witte Juffer;2014-08-31;5038;0,881;7,926
De Witte Juffer;2014-08-30;8729;1,526;13,732
De Witte Juffer;2014-08-29;6238;1,09;9,813
De Witte Juffer;2014-08-28;4747;0,83;7,468
De Witte Juffer;2014-08-27;2583;0,451;4,063
De Witte Juffer;2014-08-26;5260;0,919;8,275
De Witte Juffer;2014-08-25;1638;0,286;2,577
De Witte Juffer;2014-08-24;3151;0,551;4,957
De Witte Juffer;2014-08-23;5200;0,909;8,18
De Witte Juffer;2014-08-22;10245;1,791;16,117
De Witte Juffer;2014-08-21;2959;0,517;4,655
De Witte Juffer;2014-08-20;3457;0,604;5,438
De Witte Juffer;2014-08-19;9899;1,73;15,573
De Witte Juffer;2014-08-18;15956;2,789;25,101
De Witte Juffer;2014-08-17;18066;3,158;28,421
De Witte Juffer;2014-08-16;5965;1,043;9,384
De Witte Juffer;2014-08-15;2218;0,388;3,489
De Witte Juffer;2014-08-14;3221;0,563;5,067
De Witte Juffer;2014-08-13;7578;1,325;11,921
De Witte Juffer;2014-08-12;16693;2,918;26,261
De Witte Juffer;2014-08-11;19221;3,36;30,238
De Witte Juffer;2014-08-10;11038;1,929;17,364
De Witte Juffer;2014-08-09;14081;2,461;22,152
De Witte Juffer;2014-08-08;3552;0,621;5,588
De Witte Juffer;2014-08-07;126;0,022;0,198
De Witte Juffer;2014-08-06;3891;0,68;6,121
De Witte Juffer;2014-08-05;-192;-0,034;-0,302
De Witte Juffer;2014-08-04;1077;0,188;1,694
De Witte Juffer;2014-08-03;427;0,075;0,672
De Witte Juffer;2014-08-02;2176;0,38;3,423
De Witte Juffer;2014-08-01;-196;-0,034;-0,308
De Witte Juffer;2014-07-31;463;0,081;0,728
De Witte Juffer;2014-07-30;3516;0,615;5,531
De Witte Juffer;2014-07-29;7699;1,346;12,112
De Witte Juffer;2014-07-28;2647;0,463;4,164
De Witte Juffer;2014-07-27;548;0,096;0,862
De Witte Juffer;2014-07-26;73;0,013;0,115
De Witte Juffer;2014-07-25;2467;0,431;3,881
De Witte Juffer;2014-07-24;5521;0,965;8,685
De Witte Juffer;2014-07-23;2867;0,501;4,51
De Witte Juffer;2014-07-22;4199;0,734;6,606
De Witte Juffer;2014-07-21;2530;0,442;3,98
De Witte Juffer;2014-07-20;913;0,16;1,436
De Witte Juffer;2014-07-19;1566;0,274;2,464
De Witte Juffer;2014-07-18;1329;0,232;2,091
De Witte Juffer;2014-07-17;338;0,059;0,532
De Witte Juffer;2014-07-16;-85;-0,015;-0,134
De Witte Juffer;2014-07-15;2447;0,428;3,85
De Witte Juffer;2014-07-14;5137;0,898;8,081
De Witte Juffer;2014-07-13;678;0,119;1,067
De Witte Juffer;2014-07-12;442;0,077;0,695
De Witte Juffer;2014-07-11;1125;0,197;1,77
De Witte Juffer;2014-07-10;822;0,144;1,293
De Witte Juffer;2014-07-09;17635;3,083;27,743
De Witte Juffer;2014-07-08;8120;1,419;12,774
De Witte Juffer;2014-07-07;2300;0,402;3,618
De Witte Juffer;2014-07-06;10970;1,917;17,257
De Witte Juffer;2014-07-05;10113;1,768;15,909
De Witte Juffer;2014-07-04;3741;0,654;5,885
De Witte Juffer;2014-07-03;2276;0,398;3,58
De Witte Juffer;2014-07-02;6;0,001;0,009
De Witte Juffer;2014-07-01;1449;0,253;2,279
De Witte Juffer;2014-06-30;3086;0,539;4,855
De Witte Juffer;2014-06-29;1504;0,263;2,366
De Witte Juffer;2014-06-28;1703;0,298;2,679
De Witte Juffer;2014-06-27;3758;0,657;5,912
De Witte Juffer;2014-06-26;270;0,047;0,425
De Witte Juffer;2014-06-25;559;0,098;0,879
De Witte Juffer;2014-06-24;2770;0,484;4,358
De Witte Juffer;2014-06-23;-50;-0,009;-0,079
De Witte Juffer;2014-06-22;2257;0,395;3,551
De Witte Juffer;2014-06-21;1736;0,303;2,731
De Witte Juffer;2014-06-20;4777;0,835;7,515
De Witte Juffer;2014-06-19;2366;0,414;3,722
De Witte Juffer;2014-06-18;2623;0,458;4,126
De Witte Juffer;2014-06-17;8057;1,408;12,675
De Witte Juffer;2014-06-16;5087;0,889;8,003
De Witte Juffer;2014-06-15;3734;0,653;5,874
De Witte Juffer;2014-06-14;6307;1,102;9,922
De Witte Juffer;2014-06-13;2248;0,393;3,536
De Witte Juffer;2014-06-12;737;0,129;1,159
De Witte Juffer;2014-06-11;1283;0,224;2,018
De Witte Juffer;2014-06-10;3073;0,537;4,834
De Witte Juffer;2014-06-09;1704;0,298;2,681
De Witte Juffer;2014-06-08;911;0,159;1,433
De Witte Juffer;2014-06-07;2736;0,478;4,304
De Witte Juffer;2014-06-06;2778;0,486;4,37
De Witte Juffer;2014-06-05;17169;3,001;27,009
De Witte Juffer;2014-06-04;3265;0,571;5,136
De Witte Juffer;2014-06-03;-170;-0,03;-0,267
De Witte Juffer;2014-06-02;471;0,082;0,741
De Witte Juffer;2014-06-01;423;0,074;0,665
De Witte Juffer;2014-05-31;1401;0,245;2,204
De Witte Juffer;2014-05-30;2288;0,4;3,599
De Witte Juffer;2014-05-29;2880;0,503;4,531
De Witte Juffer;2014-05-28;84;0,015;0,132
De Witte Juffer;2014-05-27;-222;-0,039;-0,349
De Witte Juffer;2014-05-26;4449;0,778;6,999
De Witte Juffer;2014-05-25;2151;0,376;3,384
De Witte Juffer;2014-05-24;6847;1,197;10,771
De Witte Juffer;2014-05-23;2184;0,382;3,436
De Witte Juffer;2014-05-22;10532;1,841;16,568
De Witte Juffer;2014-05-21;3566;0,623;5,61
De Witte Juffer;2014-05-20;6884;1,203;10,83
De Witte Juffer;2014-05-19;1950;0,341;3,068
De Witte Juffer;2014-05-18;-168;-0,029;-0,264
De Witte Juffer;2014-05-17;1027;0,18;1,616
De Witte Juffer;2014-05-16;1996;0,349;3,14
De Witte Juffer;2014-05-15;2033;0,355;3,198
De Witte Juffer;2014-05-14;5751;1,005;9,047
De Witte Juffer;2014-05-13;3027;0,529;4,762
De Witte Juffer;2014-05-12;9263;1,619;14,572
De Witte Juffer;2014-05-11;37335;6,526;58,734
De Witte Juffer;2014-05-10;21004;3,671;33,042
De Witte Juffer;2014-05-09;29251;5,113;46,016
De Witte Juffer;2014-05-08;17138;2,996;26,961
De Witte Juffer;2014-05-07;17677;3,09;27,809
De Witte Juffer;2014-05-06;4174;0,73;6,566
De Witte Juffer;2014-05-05;3504;0,612;5,512
De Witte Juffer;2014-05-04;-116;-0,02;-0,182
De Witte Juffer;2014-05-03;5201;0,909;8,182
De Witte Juffer;2014-05-02;10648;1,861;16,751
De Witte Juffer;2014-05-01;374;0,065;0,588
De Witte Juffer;2014-04-30;325;0,057;0,511
De Witte Juffer;2014-04-29;50;0,009;0,079
De Witte Juffer;2014-04-28;311;0,054;0,489
De Witte Juffer;2014-04-27;196;0,034;0,308
De Witte Juffer;2014-04-26;1279;0,224;2,012
De Witte Juffer;2014-04-25;5522;0,965;8,687
De Witte Juffer;2014-04-24;2624;0,459;4,128
De Witte Juffer;2014-04-23;154;0,027;0,242
De Witte Juffer;2014-04-22;1419;0,248;2,232
De Witte Juffer;2014-04-21;1789;0,313;2,814
De Witte Juffer;2014-04-20;14159;2,475;22,274
De Witte Juffer;2014-04-19;5929;1,036;9,327
De Witte Juffer;2014-04-18;10809;1,889;17,004
De Witte Juffer;2014-04-17;11143;1,948;17,53
De Witte Juffer;2014-04-16;1703;0,298;2,679
De Witte Juffer;2014-04-15;7700;1,346;12,113
De Witte Juffer;2014-04-14;28188;4,927;44,344
De Witte Juffer;2014-04-13;5350;0,935;8,416
De Witte Juffer;2014-04-12;3279;0,573;5,158
De Witte Juffer;2014-04-11;1951;0,341;3,069
De Witte Juffer;2014-04-10;531;0,093;0,835
De Witte Juffer;2014-04-09;10597;1,852;16,671
De Witte Juffer;2014-04-08;24517;4,285;38,569
De Witte Juffer;2014-04-07;7665;1,34;12,058
De Witte Juffer;2014-04-06;5974;1,044;9,398
De Witte Juffer;2014-04-05;225;0,039;0,354
De Witte Juffer;2014-04-04;20;0,003;0,031
De Witte Juffer;2014-04-03;904;0,158;1,422
De Witte Juffer;2014-04-02;1335;0,233;2,1
De Witte Juffer;2014-04-01;1284;0,224;2,02
De Witte Juffer;2014-03-31;1416;0,248;2,228
De Witte Juffer;2014-03-30;3587;0,627;5,643
De Witte Juffer;2014-03-29;5700;0,996;8,967
De Witte Juffer;2014-03-28;5548;0,97;8,728
De Witte Juffer;2014-03-27;8523;1,49;13,408
De Witte Juffer;2014-03-26;2244;0,392;3,53
De Witte Juffer;2014-03-25;3740;0,654;5,884
De Witte Juffer;2014-03-24;773;0,135;1,216
De Witte Juffer;2014-03-23;5761;1,007;9,063
De Witte Juffer;2014-03-22;13757;2,405;21,642
De Witte Juffer;2014-03-21;9504;1,661;14,951
De Witte Juffer;2014-03-20;19456;3,401;30,607
De Witte Juffer;2014-03-19;23824;4,164;37,479
De Witte Juffer;2014-03-18;19334;3,379;30,415
De Witte Juffer;2014-03-17;5540;0,968;8,715
De Witte Juffer;2014-03-16;9157;1,601;14,405
De Witte Juffer;2014-03-15;20093;3,512;31,609
De Witte Juffer;2014-03-14;5216;0,912;8,206
De Witte Juffer;2014-03-13;1334;0,233;2,099
De Witte Juffer;2014-03-12;2449;0,428;3,853
De Witte Juffer;2014-03-11;6718;1,174;10,568
De Witte Juffer;2014-03-10;6983;1,221;10,985
De Witte Juffer;2014-03-09;9316;1,628;14,655
De Witte Juffer;2014-03-08;8947;1,564;14,075
De Witte Juffer;2014-03-07;10036;1,754;15,788
De Witte Juffer;2014-03-06;5235;0,915;8,235
De Witte Juffer;2014-03-05;8;0,001;0,013
De Witte Juffer;2014-03-04;2760;0,482;4,342
De Witte Juffer;2014-03-03;14235;2,488;22,394
De Witte Juffer;2014-03-02;14039;2,454;22,085
De Witte Juffer;2014-03-01;1907;0,333;3
De Witte Juffer;2014-02-28;6125;1,071;9,636
De Witte Juffer;2014-02-27;20785;3,633;32,698
De Witte Juffer;2014-02-26;5284;0,924;8,313
De Witte Juffer;2014-02-25;15676;2,74;24,661
De Witte Juffer;2014-02-24;11855;2,072;18,65
De Witte Juffer;2014-02-23;19943;3,486;31,373
De Witte Juffer;2014-02-22;15555;2,719;24,47
De Witte Juffer;2014-02-21;17230;3,012;27,105
De Witte Juffer;2014-02-20;21151;3,697;33,274
De Witte Juffer;2014-02-19;6943;1,214;10,922
De Witte Juffer;2014-02-18;7912;1,383;12,447
De Witte Juffer;2014-02-17;6912;1,208;10,874
De Witte Juffer;2014-02-16;21172;3,701;33,307
De Witte Juffer;2014-02-15;44168;7,72;69,483
De Witte Juffer;2014-02-14;22829;3,99;35,913
De Witte Juffer;2014-02-13;19339;3,38;30,423
De Witte Juffer;2014-02-12;29085;5,084;45,755
De Witte Juffer;2014-02-11;19435;3,397;30,574
De Witte Juffer;2014-02-10;5386;0,941;8,473
De Witte Juffer;2014-02-09;41779;7,303;65,725
De Witte Juffer;2014-02-08;36040;6,3;56,696
De Witte Juffer;2014-02-07;29720;5,195;46,754
De Witte Juffer;2014-02-06;32024;5,598;50,379
De Witte Juffer;2014-02-05;36710;6,417;57,75
De Witte Juffer;2014-02-04;19243;3,364;30,272
De Witte Juffer;2014-02-03;8943;1,563;14,069
De Witte Juffer;2014-02-02;19342;3,381;30,428
De Witte Juffer;2014-02-01;31407;5,49;49,408
De Witte Juffer;2014-01-31;10150;1,774;15,967
De Witte Juffer;2014-01-30;2009;0,351;3,16
De Witte Juffer;2014-01-29;13421;2,346;21,113
De Witte Juffer;2014-01-28;25789;4,508;40,57
De Witte Juffer;2014-01-27;19248;3,364;30,28
De Witte Juffer;2014-01-26;22347;3,906;35,155
De Witte Juffer;2014-01-25;12818;2,241;20,165
De Witte Juffer;2014-01-24;1768;0,309;2,781
De Witte Juffer;2014-01-23;3299;0,577;5,19
De Witte Juffer;2014-01-22;5367;0,938;8,443
De Witte Juffer;2014-01-21;216;0,038;0,34
De Witte Juffer;2014-01-20;61;0,011;0,096
De Witte Juffer;2014-01-19;8169;1,428;12,851
De Witte Juffer;2014-01-18;11134;1,946;17,515
De Witte Juffer;2014-01-17;19612;3,428;30,853
De Witte Juffer;2014-01-16;14459;2,527;22,746
De Witte Juffer;2014-01-15;13128;2,295;20,652
De Witte Juffer;2014-01-14;6987;1,221;10,992
De Witte Juffer;2014-01-13;15245;2,665;23,983
De Witte Juffer;2014-01-12;7596;1,328;11,95
De Witte Juffer;2014-01-11;9946;1,739;15,647
De Witte Juffer;2014-01-10;9204;1,609;14,479
De Witte Juffer;2014-01-09;30935;5,407;48,665
De Witte Juffer;2014-01-08;17382;3,038;27,345
De Witte Juffer;2014-01-07;30226;5,283;47,55
De Witte Juffer;2014-01-06;37101;6,485;58,365
De Witte Juffer;2014-01-05;15473;2,705;24,341
De Witte Juffer;2014-01-04;20544;3,591;32,319
De Witte Juffer;2014-01-03;34530;6,036;54,321
De Witte Juffer;2014-01-02;25389;4,438;39,941
De Witte Juffer;2014-01-01;26606;4,651;41,855
